score,content
5,biar bintang lah yang bicara
4,oke sekarang problemnya ada di bagian riwayat pencarian yang gk bisa dihapus
4,masalah pengirimannya berputar putar gak jelas padahal sudah sampe kota tujuan masa  hari gak bergerak ga ada solusi
1,ga jelas beli tanggal  sampe tanggal  blm sampe juga ga ada diskon telat
1,lama datang nyaa udah  minggu belom datang
3,
5,masih di pulau jawa tapi gk dapet gratis ongkir
5,ok
5,sangat membantu
1,sebagai seller direpotkan ga bisa ubah resi
5,bagus
3,chat tokped custmr servs gk ada balasan dari kemarin
1,makin ke sini tokopedia makin ga jelas masa ga bisa ganti kurir saya sudah lama jadi berjualan di tokopedia jadi kecewa kalau seperti ini hapus aja kalau makin ribet gini ga jelas banget
1,mau batalin pesanan susah bgtcs gak membantu malah bot doang yg menjawab kecewa banget
5,yoi
1,saya pemula dan saya mendapatkan kopun senilai rp dengan syarat beli satu barangtanpa cod dan setelah saya beli barang mengikuti arahan dengan bayar tunai tetapi kopun rp itu tidak saya dapatkan mohon beri penjelasan
1,merugikan seller tokopedia mau monopoli apa gimana
1,ribet
5,the best
3,njajal sek kawan be enk apk nya
4,min bonus coin ulasanku ada  kok blm masuk ya untuk hari ini jadinya bintangnya sy kurangi dulu ya
1,hadeh makin sini makin ribet
1,aplikasi ini sudah tidak rekomendasi di download sudah tidak seperti dulu wajib di blokir banyak dirugikan sebagai penjual
5,terbaik
1,ngajuin komplen cuma muter muter doang enakan shoope apa lazada masih oke komplain langsung cepet
1,ini gimana kualitas layanan cfs nya saya mau laporan bug di akun saya dimana aaya sama sekali tidak bisa pakai kupon promo apapun dan udh  hari nggak ada respon sama sekali udah coba lewat email sama aja nih ngapa dah colab ama tiktok malah jadi ampas bener gue gunain tokped dari dan total transaksi udah lebih dari m kali di mulai beli listrik dll via tokped semua tapi sekarang kek gini ampas beut ini gk ounya cfs atau apaan platinum member aja susah bener mau chat cfs
1,dibeli toktok jadi anyep promonya min
5,aman dan terpercaya
5,proses sangat mudah dan banyak promo sukses selalu tokopedia
5,mantaf
1,keterangan di deskripsi produk sudah ditata dulu sekarang amburadul semua
1,suka lama banget pengirimannya melebihi estimasi udah gitu di oper sama expedisi nya
5,baik
1,barang tidak sesuai deskripsi susah ngurusnya padahal video unboxing ada
5,nemuaskan
1,gak jelas gausah buat tokopedia care kalau tidak responsif
5,oky
5,oke
3,aplikasi lumayan bagus tapi saya tidak bisa memberikan penilaian yang lebih karena saya jarang belanja
1,semenjak gabung sama tiktok tokopedia jadi semakin ga jelas chat cs aja ga ada yg balas nunggu berharipun gda yg balas mau batalin pesanan karena status resi tidak valid ga bisa padahal saya udah bayar  juta buat pesanan saya semakin lama bikin buyer pada kabur ke mp sebelah yg fast respon
1,buat tokopedia tolong dong penjual yang udah lama ga aktif di kasih notif di bawah nama toko nya sudah brp hari minggu ga aktif biar ga php pas beli ternyata ga ditanggapin
5,semua olshop tdk ada fitur menghapus riwayat belanja ada baiknya tokopedia menjadi pelopor karena kadang orang dewasa membeli barang yg hal ini tdk boleh dilihat oleh anak² makasih
4,coba dlu yaa klo bagus tambah bintang lagi
1,kecewa berat dengan tokopedia dari awal saya sudah menduga bahwa order saya akan dibatalkan karena batas akhir pengiriman lebih lambat hari setelah batal otomatis jadi sebelum batas akhir pengiriman oleh seller pesanan di batal otomatis oleh sistem saya tidak tahu apakah ada semacam rekayasa dari saya saja sudah terkumpul dana rb ada berapa banyak pelanggan yang mengalami hal sama seperti saya dan berapa banyak dana mengendap di akun tokopedia kecewa terulang lagi
5,bagus
5,lengkap
3,pengiriman cepat kurir bsik nyaman barang sesuai pesanan
1,pelit voucher sekalinya ada jg ghoib gk bisa apa klo di toped mdg shopee apa lazada masih jelas vocernya
5,mantap
1,parah banget tokopedia  minus semua bener dah paket dari lama ga dateng ga ada cs live  resi bikin sendiri baru order pertama lo aku lewat tokopedia ga amanah sekali
1,belanja di tokopedia sekarang pelit voucher chasback kecil  belanja min jt potongan masa rb doang rugi dong  terus fitur gopay later nya cicilan  bulan sering di hilangin saya pun sekarang jadi males belanja di tokopedia
5,mantab
5,ok
5,aangat memudahkan
5,sangat menganggumkan
5,kok sekarang udah gaada gratis ongkir yaa
4,saran saya semoga pelayanannya dikembangkan terus agar penggunanya menigkat seperti toko oren dan pelanggan tidak merasakan keluhan terus menerus terima kasih
1,bikin maps alamat yang bener jangan tolol bikin susah aja kita pake itu bayar bukan gratis ingat
5,aplikasi yg bagus memudahkan beli barang dan banyakin diskon voucher nya
5,mantabhbos
1,kenapa saldo di akun dana saya tiba otomatis membayar di tokopedia
1,setelah sekian lama saya berhenti pakai tokped skrg saya kembali lagi coba pakai tokped sangat kecewa karna yg bisa gratis ongkir rata² hanya toko yg sudah ada logo merchantnya itulah penyebab tokped ga bisa maju kalo mau maju pihak tokped harus mempermuda toko baru untuk berkembang dengan memberi gratis ongkir total sampai mereka bisa dapet logo merchant kenyataanya jualan di shopee justru lebih mudah dibanding di tokped karna shopee selalu ada gratis ongkir utk toko baru
1,aplikasi g jelas gangguan terus
5,oke
5,ok
1,bagusnya setiap ada barang yg mau di beli di web tampilkan juga ongkir nya jangan langsung isi semua data lalu ongkirnya disembunyikan beli cuma  tp ongkir rb kan repot karena harus cancel mana fitur nya di usahakan harus beli apapun yg dipencet masuk ke keranjang
5,tolong buat kan poromika vt affiliate bisa iklan kita
5,bagus
2,di akunku malah ga ada gratis ongkir walaupun toko sudah menyediakan layanan gratis ongkir apakah ada yg sama
5,berguna
1,tolong perbaiki error gangguan rumah toped
4,tidak bisa memilih metode pembayaran transfer manual
5,oklk
1,hallo tokopedia tolong di respon dengan benar y dana dari penjualan saya ketahan tidak bisa masuk ke pencairan toko  otomatis tidak bisa saya cair kan dana saya  saya sudah coba bertanyak melalui sistem chat di tokoped yang di alihkan ke ai tanyak nya tokoped jawaban nya tolol banget di jawab dana nya sudah di cairkan tapi nyata nya tidak dan ketahan dan pada saat di komen malah gk bisa ke send tolong segara di tangani permasalahan saya
5,terbaik
5,
1,kali ini sangat kecewa dg tokopedia yg pertama karna tdk ada fitur chat cs dan yg paling mengecewakan adalah saya beli di aplikasi ini ketika kurir sudah ditugaskan kirim pesanan saya tunggu dari pagi sampai malam tidak kunjung terkirim lalu saya lacak bahwa akan dikirim kembali oleh kurir dengan alasan pembeli tidak ada di alamat tujuan sedangkan saya dari pagi sampai malah menunggu tetapi kurir menggunakan alasan yang mengatasnamakan saya bukan kah itu termasuk penipuan
5,bagus banget aplikasi nya berguna buat belanja
5,kerenn
1,aplikasi sampah jual turuk aja
1,saya heran hanya aplikasi tokopedia saja yg bisa menangkan penipu dan pembeli dikalahkan
5,ok
5,sangat membatu sekali trimakasih
5,mantapp
4,kasih event dapet koin belanja
5,bagus bersaing dgn ekomerce lain tolong voucher nya di banyakin lagi biar pada belanja nya seneng terimakasih
5,tolong perbaiki nama panggilannya seharusnya nama panggilann saya azzam namun di notifikasi muhammad tolong ya
5,sangat membantu terimakasih
5,alhamdulillah masya allah tokopedia sukses selalu
2,kapok ah  pembatalan susah  tanya layanan malah di suruh chat penjual gk fungsi banget
1,dana refund tidak dikembalikan malah kita dibebankan
5,cukup bagus
1,tolong kurir itu pake logika  masa alamat bjn kurirnya dr sby tbn smg ampun toped
1,tokopedia care kemana adminnya gak ada respon penanganan komplain terkait produk disini lelet berteleteleemang udh bener mending klo belanja disebelah ajabaru ajuin komplain duit langsung balikproses cepetsat setbat betmales belanja disini lagipantes dagang disini sepi
1,toko kurang lengkap searching masih pakai ketik lagi orang aplikasi lain udah pakai foto atau gambar searchingnya ribet gak bisa sesuai dengan apa yang di cari
5,sangat memuaskan dan barangnya juga murah murah
5,mantab
1,ini sudah belanja  kali berturut² dan dikembalikan mulu ke penjual menurut saya ini buang buang waktu dan untuk waktu komplain sangatlah lama jadi saya beri bintang  dulu karena sudah membuang banyak waktu saya untuk menunggu dan minimal berikan alasan kenapa direturjika tidak ada penjelasan pembeli akan bingung
5,respon nya sangat cepat
2,tokped mode pembayarannya ga semua toko bisa codjd males belanja di tokpedlagian susah dpt discountjd hapus aja aplikasi tokpednya
1,saldo tokopedia wishlist dan barang yang saya masukan hilang sejak update ini akun dan data masih sama data udah beda
1,sdh berkali belanja namun ngga sesuai
2,apa si pertimbangan tokped memilih curir recomendasi menggunakan idexpress jika tokopedia ingin bersaing dan lebih maju maka curir recomendasi idexpress harus diganti jika tidak yaa tinggal tunggu aja orang pindah ke shopee atau ecommers lain  hari status mengantarkan ke alamat tujuan tapi tidak sampai alamat sudah jelas ciri rumah jelas no hp ada yang dirugikan bukan hanya pembeli tapi penjual dan juga tokopedia sendiri jadi bijaklah dalam menentukan curir rekomndasi
5,siip
3,sistem kurir rekomendasi kurang transparan buat lebih transparan lah biar mudah cek resi di resi kalian jejak nya gak keliatan
5,baguss
4,persib juara a otw bintang
5,mantap
5,mantap
4,saya sering belanja di tokopedia banyak promo dan mudah
5,nadiya
1,kenapa ini iklan toko pedia muncul terus d hp saya ganggu sampai saya gk bisa ngetik pesan
5,bagus
5,lumayan nyaman belanja disini dengan fiturfiturnya
1,sala satu kekurangan tidak bisa batalkan pesanan padahan suda  miggu tidak dikirm tetap disuru nunggu alhasil pembeli gak mau terima barang jadi kita yang nombok
5,fitur udh canggih dan aplikasi bagus banget apa lagi pengirimannya cepat dan gesit banget
4,di detail pesanan ga ada note dari pembeli kepake soalnya biar pembeli ga salah ngasih note ke penjual
1,kalau barang kosong harap di hapus dari etalase karena sangat banyak barang kosong yg masih ada di etalase perketat lagi sistem barang redy atau kosong agar penjual tidak seenaknya
5,tokopedia mantab
5,aplikasi yg sangat membantu dan terpercaya
5,sangat membantu
5,recommended thanks
4,okemasih percobaan
1,dapet vocdiskon k dengan syarat checkout  barang giliran udh d bayar cuma dapet ucapan selamat udh bisa pake vocdiscnya tp ilang gitu aja scammer scammer
2,sudah lama pakai tokped tp sekarang jd kecewa pengiriman tambah lama
1,atik wap chèche yo mankeenkonplè tanpri ranje pwoblèm sa a ak devlopè a
1,gmn ini tokopedia kacau banget paketsy dri tgl  estimasi tgl  smpe skrng tgl  blom jga sampe tdimlm sy pesen brang ambil yg harini sampe jga sampe skrng blom sampe gmnni tokopedia harusnya ketatin dung kurirnya klo bgni jdi mls sy pke tokopedia utnghrga pling ratusan klo lgi blnja kebutuhan salo mobil puluhan jta gmna kgajelas lu tokopedia sangatkecewa sya
1,dibatalin sama sistem
5,nice
1,lemot bgt di hp android
5,barang berkualitas
1,ga sesuai harapan pada gambar pas di telusuri zongg
4,aplikasi bagus dan terpercaya
5,mantab
5,min bagi voucher diskon  min belanja  hehe
5,cantik sekali gelasny
5,mudah untuk belanja mencari barang yang dibutuhkan
1,aplikasi ga jelas ada mslah ga ada solusi d chat cs ga bles
3,kenapa fitur untuk melihat riwayat pembelian ke sebuah toko di hilangkan ini sangat berguna kalau kita mau membeli barang yg sama kita tinggal cek riwayat saja
5,ok mantap
2,saya baru update kemarin akun tokped saya yang kemarin malam pihak tokopedia kemanain di update tokped malah akun saya yang hilang tanggung jawab akun saya yang hilang
1,bobrok
2,pengiriman lama upgrade untuk pengiriman dongg min tokped
1,aplkasi busuk
5,pengiriman sangat bagus cepat dan aman
5,olshop yang mudah digunakan dan ringan
5,mantap
1,paket pesanan tidak sampai sudah  hari komplain tp tidak ada tindak lanjut tokped kacau sekarang
1,agak kecewa dengan pengiriman instant dr toko pedia harusnya barang sampai h ini udh  hari blm sampe juga percuma bayar ongkir yg instant ga dikasih alternatif juga padahal barang yg dibeli untuk kebutuhan urgent
5,ditunggu barangnya
5,sangat baik
5,tolong hapus ekspedisi jne dari platform marketplace ini ekspedisinya terlalu lama banyak yg review jne buruk lost barang lah paket muter² lah misaddress lah dll sejauh ini toped si oke yg bikin gak oke kalo masih ada ekspedisi jne
5,tokopedia sangat cocok buat berbelanya segala kebutuhan
5,uu
1,kebanyakan update anj
5,mantap
5,sempurna
5,berubah pikiran
5,ok
4,kenapa sekarang ga ada gratis ongkir setiap beli barang apapun
5,sangat baik
5,bagus
5,selamat tokped anda mendapatkan  bintang
4,sukses trus
3,ini kenapa sih setiap mau ngasik ulasan ke penjual kok gagal terus masti ada masalah terus di apk nya selalu muncul tulisan ada masalah di rumah toped perbaiki dong
1,tokopedia biasanya tidak bermasalah kenapa bulan mei  bermasalah dana saya ditahan oleh pihak tokopedia saat pindah ke rekening bca saya padahal jualan hp buat beli pampers susu dll buat anak
5,siap
5,keren sih tapi harganya mahal mahal bagi orang miskin
5,mantap
5,barang sampai sesuai pesanan
1,banyak seller nakal sudah kita filter di daerah kita pas udah pesan ternyata barang masih ada di jawa buat pembeli luar jawa ini scam sih
5,mantap
1,pelayanan cs nya buruk order brng kaga dikirim padahal toko bilang stok redi tp ko ga di kirim tanya ke cs cuman bilang nanti klw toko ga ngirim xjam saldo balik ke kita kita niat blanja bukan simpan uang musti nya push toko nya segera kirim brng nya klw bisa suspen toko nya klw ganiat jualan klw ga mau tokped jelek di mata konsumen
5,sangat bagus
5,baik
1,saya suka banget sama tokopedia dan kalau beli online selalu di tokopedia tapi barusan kmaren saya beli di salah  toko dalam tokopedia dan pengiriman paket pake jne jujur saya kecewa dan gak habis pikir karena  paket saya sudah berada di jne sidoarjo dan jarak ke rumah saya kurang lebih cuma  jam tapi knapa kok paket saya gak bergerak sama skali sampai  hari di jne sidoarjo saya tanya pihak toko cuma janji cek aja dan gak ada kelanjutan tolong di bantu tokopedia
5,ngeri banget ongkir nya please
3,aneh gua  kali beli barang di sini selalu di batalin otomatis udh dua kali dan di toko berbeda udh di bayar pdhl
5,bagus
5,baguss
1,dear develop kenapa data saya bisa di retas sistem keamaanan kurang memuaskan para pengguna tokopedia berhati hati dalam memberikan alamat email karna keamanan tokopedia kurang bagus
5,okeh
5,good nice
5,bagus
3,toped makin kesini  ngasih harga promo tp seringnya dibatalin sistem php mlulu barang gak pernh dikirim
5,mantap banget
5,lumayan aplikasi nya membantu bro
1,berisik iklan muluasu
5,bgus
1,aplikaso busuk lemot apalagi pengiriman rekomendasi tokpedia kayak jebakan  ga bisa milih rekomendasi pengiriman apa mau order yang jutaan mahal murahorngir ratusan ribu di jebak pake jne yang suler busuk dan ga niat semoga aja segera gulung tikar ecomerce busuk kerja sama sama jasa kirim busuk mikir untungnya sendiri ga mikir konsumen segera bangkrut aja menyusahkan ga mempermudah
1,pakai kurir rekomendasi dari surabaya ke jember jt dan idx senin pagi order kamis baru keluar dari sidoarjo entah kapan mau sampai kalo kayak gini
5,dalam memilih toko salah satu faktor adalah rating dan ulasan toko tersebut tetapi sering toko layanan bagus ada masalah di expedisi kiranya bs dibuat rating untuk expedisi juga sy membeli dg expedisi yg lebih mahal tp hasilnya tidak lbh cepat dan tidak lebih baik dr yg reguler
2,untuk developer tolong dong perbaiki masalah jaringan yang sering error terus dan masalah masukin barang ke keranjang juga sama suka error terus
5,sangat puas walau pun baru pertama kali blanja
1,bagaimana ini pihak tokopedia makin kesini makin ngga jelas paket saya tertahan shipment seized by custom dihubungi pihak tokopedia juga no respon  ah menyebalkan sekali padahal cuma sparepat hp
5,memberikan kemudahan dalam berbelanja thanks
1,sangat kecewa sekalijualan disini cuma disalahin terus dan selalu berpihak pada pembelipadahal deskripsi sudah sangat jelas tapi ending nya selalu memihak ke pembeli terusmaafsaya akan menutup aplikasi semua yg berhubungan dengan tokopedia
1,tidak suka dengan update terbaru yang isi nya pembeli memiliki waktu  hari kalender atau maksimal hingga  mei  pukul  untuk melakukan konfirmasi penerimaan barang atau mengajukan pengembalian barang danatau dana jika terdapat kendala pada barang yang diterima jika tidak maka pesanan akan selesai otomatis dan dana akan diteruskan seller
5,okey
5,sangat bagus
1,setelah diupdate nggak bisa lihat penjelasan produk permainannya tolong dikembalikan
1,sangat sangat tidak puas  hari yang lalu saya melakukan pemesanan melalui tiktok dan sudah membayar lunas melalui dana  tetapi tidak ada catatan pemesanan saya di tokopedia  saya sudah mencoba lapor melalui tokopedia care  tetapi selalu tidak bisa ini menurut saya aplikasi terburuk  klo bisa ga pake bintang saya lebih suka ga kasih bintang
1,payah makananminuman vape  diblokir
5,okelah
2,paket overtime di batalkan oleh sistem tapi saldo saya belum cair  padahal di aturannya jika transaksi via virtual akun dana langsung cair saat itu juga saya sudah lama pake tokopedia  saya percaya pelayanannya bagus  cepat namun baru kali ini kejadian seperti ini jadi agak was was mau pake tokopedia untuk selanjutnya
5,ok
5,top cocok belanja online yg profesional lah
1,kupon scam buat pengguna baru
5,mantap tokopedia
1,ini tokped gmn si maaf ya aku kasih bintang  karna ada alesan aku mesen brng dri tgl april dan sampai skrng itu barang dalam kondisi perjalanan ke rumah tapi ganyampe nyampe anjj udh minta pengajuan pengembalian dana malah ditolak gegara paketnya blom dateng kalo makin lama lama kek gini  tahun kemudian apa ni barang masih gini tolong deh klo buat peraturan mikir anjr jan asal nolak kalo gatau apa apa deh
1,tokopedia care tolol barang ga datang lebih dr  bulan tetap disuruh menunggu investigasi dari kurir chat dgn admin ky chat dgn kentut diulang katanya akan diinvestigasi jamsetelah lewat malah investigasi lagi gak ada ketegasan dr aplikasi sebesar ini semoga saja kau cepat bangkrut
1,jawab keluhan saya saya udh chat tokopedia care maupun cs tokopedia di aplikasi nya ga dibales dan ga dikasih solus
3,kecewa sama kualitas pencarian sudah di ketik secara detail hasilnya masih ngaco nyasar jauh
3,ongkirnya mahall
1,tampilan pilihan metode pembayaran begitu lemot
5,kenapa tidak bisa bikin alamat
1,ngapain ada feed segala sih kopmlain barang ajaaplikasinya malah error
2,perlu pemberian penilaian utk kurir yg di gunakan krna sbagian kurir tdk mengirim paket ke alamat pas cek status pengiriman gagal dan akan di kembalikan ke pengirim kan aneh paket tdk pernah di krim ke alamat sdah di tunggu berhari² ternyata mau di kembalikan ke pngirim hbis waktu percuma
4,ini bagus sangat bijak
5,bagus
5,harapan terakhir semoga bisa membantu tokopedia
1,aplikasi tidak dapat menyelesaikan masalah yang di alami pembeli seperti masalah keterlambatan yang sering kali melewati waktu estimasi serta aplikasi lebih sering memberi saran ketimbang memberi solusi yang lebih berguna untuk pelanggan seperti contohnya memberi informasi kurir pengiriman terkait atau memberi jaminan keterlambatan untuk pelanggan dan juga customer service aplikasi sering memberi saran berulang dan jarang memberi solusi pasti atas masalah yang terjadi
1,skrg aplikasinya sering error ada beberapa fitur yg tidak bisa dibuka misal wishlistnya crash atw error tidak bisa d akses makin lama makin payah aplikasi ini gk lama bakalan hapus juga nih aplikasi mending pindah ke tiktok shop
5,bagus
1,toko pedia so pasti murah
5,ok
3,sayangnya fitur affiliatenya minimal penarikan harus  ribu dan hanya bisa pake rekening bank yang notabene feenya mahal harusnya minimal  ribu dan bisa pake ewallet seperti dana atau lainnya trus komisi bukan presentase tapi nominal hingga produk belasan juta juga di affiliate cuma komisi k terlalu fokus ke affiliate tiktok lupa benahin internal tokopedia sendiri mohon tingkatkan system affiliate tokopedia ramahlah sama affiliator dan berikan kemudahan
1,barang pesanan saya di mana makanya pakai map seperti shopee percuma banyak promo tapi pengiriman lelet
1,pelit tidak ada gratis ongkir
1,ga niat kasih fitur refund cs ga bisa dimintain penjelasan
5,sangat puas berbelanja di aplikasi ini
1,tolong hapis data saya karena aplikasi ini sudah membocorkan data saya
5,keren
1,hati yang komplain pengembalian barang prosesnya lama sekali hati juga bagi yang menggunakan pengiriman dengan asuransi hati juga klu beli barang elektronik yang menggunakan asuransi terkesan sengaja dikirim asalan
5,walaupun terkesan barang di tokopedia lebih mahal daripada sebelah tapi algoritma nya bisa nampilin barang yang dibutuhin bukan yang diinginkan good job lah team developer nya
1,batal cod  x codnya lsg diblokirpadahalkan gak sengaja ke chekout gak kaya yg sebelah pembatalan lsg di diproses gak nunggu persetujuan tokobanyak yg mau sy belijadi males
5,belanja murah meriah ka
1,bisa cod atau tidak nih
5,sangat memuaskan dan toko yg sangat lengkap
5,mantaff betoel
4,harusnya ada khusus menu pengembalianretur jngan nunggu penjual menyetujui rawan penipuan tolong perbaiki
1,ribet update terus
1,abis update malah foto produk gambar broken terus gimana sih
1,parah kecewa berat padahal sudah ada voucher pembayaran dana dan potongannya lumayan gw liat gak ada waktu hangusnya jadi nunggu dulu sambil mikir pas udah mau check out malah ilang voucher tadi dan harga naik drastis parah giliran tau kalo gw mau bayar make dana vouchernya di hilangkan padahal waktu pembayaran make alfamart voucher masih ada
1,pengiriman melenceng jauh dari estimasi
5,suka bgt sm aplikasi tokped krn bs order apapun yg bs kita veli and incerin disini guys
2,kenapa lama sekali perbaikannya saya ingin upload produk gak bisa mohon penjelasannya
4,bisa gak sih setiap  bulan sekali gak usah update ngabisin penyimpan saja dan gak ada peningkatan fitur malahan fiturnya ngikut shoppe
5,ok garcep
5,dear tokobpediamakasih banyak tlh menyediakan tmpt nyaman buat transaksi tolong buat tokopedia utk memperhatikan masalah pengiriman dan respon penjual yg kadang terlalu lama smg sukses sll
5,mantap betul
5,masih jadi pilihan  karena customer carenya kalau menangani masalah selalu gercep satset winwin solution
5,mantap
1,barang pesanan ku belom bisa di la cak dan uang saya berkurang padahal saya belum melakukan transaksi semoga dapat diperbaiki
3,aplikasi sudah terpdate updatenya gak ada perubahan dapet bonus mau cekout produk yang akan diorder bonus gak bisa dipake bisa dipake tapi udah ditentuin sama tokped produknya kupon diskon dan bebas ongkirnya skarang udah gak ada misi²  game udah gak ada hadeuhmakin mundur bukannya bikin betah pertahanin customers yang udah lama stayed di tokped ini malah dibikin gak nyaman semenjak ada toktok tokped nih belanja di tokped apl udah gak asyik lagi lesu
4,pelayanan nya sudah cukup baik semoga lebih ditingkatkan lagi di waktu yg akan datang
4,barang berkualitas dan nyaman di pake
5,ok
5,barang nya bagus
1,mau buka toko kok sulit banget sih masih harus login tokoedia dan tiktok shop lah apalah ribet mending toko tokopedia sendiri aja g usah gabung
1,beli barang estimasi tgl  udah lewat dua hari tapi ga bisa buat komplain payah
1,customer servicenya lama g dibales pdhl pesanan gua g dikirim²
1,jelek banget gabisa di bagian sulawesi tenggara
1,pilihan kurir nya tolong di perjelassjgn ongkosnya aja tapi bisa pilih jenis layanan kurir nya mau apa ajaini di kirim pake gtl udh seminggu ga sampe
5,sangat membantu kebutuhan di saat yang tepat
2,kurang puas karena susah buat pelayanan cod nya
5,mantap toko pedia
1,bisa ngga sih gausah ngasih notifikasi² yang ga penting notif itu sekiranya chat dari seller nya kek ini malah notif notif gajelas kalo ada rating  ku rating  beneran ini
5,mantul
5,baru coba semoga lebih keren
3,limit gopaylater terus bertambah krna pembayaranya lancar tp knp gopaylaternya tidak bisa di gunakan untuk bertransaksi belanja di tokopedia ini bener ke anehan yg di luar logika ngapain di tambahin limitnya klo tidak bs di gunakan apakah cm buat jd pajangan aja gak guna
2,maaf untuk mengatakan namun saya sangat kecewa dengan kualitas barang yang saya terima barang tersebut ternyata kotor dan bekas yang tidak sesuai dengan ekspektasi saya
1,kenapa toko pedia q di tik tok gk berfungsi ya padahal q udah daftar
1,buruk saldo feround proses penarikanya lama padahal saldo itu untuk beli lagi jd tertunda
1,tokopedia makin kesini makin tidak jelas pengiriman lambat pelayanan cs sangat buruk sangat sulit untuk terhubung dengan cs mesti ngeladenin ai bot tanya yang gk membantu dan juga tidak berguna solusi waktu yang dibutuhkan untuk terhububg dengan cs juga sangat lamasudah nunggu lama solusi nya juga gk ada hanya menyuruh menunggu dan nunggu pantes sekarang tokped sepi karena pelayanan nya memburuk bukanya membaik waktu estimasi pengiriman dengan kenyataan jg sama dan gk ada kompensasi keterlamba
5,ok
1,fitur bayar sekaligus sudah ditiadakan padahal sering aku gunakan untuk bayar listrik air sama wifi skaligus skarang harus buka toped  mbanking buka toped lagi  mbanking lagi sampek x sungguh penurunan layanan yang merepotkan
1,maaf saya kecewa bangetmasa paket saya  hari mentok di rangkas mulu aneh banget sih gak jelas bikin emosi
5,ok
5,oke
5,cepat dan instan
5,lebih efisien terima kasih
1,gak ada gratis ongkir males mending shopee dah gratis ongkir terus bye tokped
1,marketplace sampah jasa kirim lelet kaya sapx masih aja dipake
5,sangat mudah dan friendly
1,panggil kurir gojek grab lama banget ga dapet kurir
5,kami berbelanja suatu barang pembayaran melalui potong saldo sangat mudah sekali terima kasih toko pedia
2,aplikasi apa ini loading nya lama kali
1,keluhan saya lewat chat tdk bs teratasi
5,bagus sekali terima kasih toko pedia
5,top
4,aplikasi ini cukup bagus tapi kalo boleh dikritik agar dapat ditingkatkan lagi performa nya  saat mengatur mengedit wishlist agak kerepotan sebab harus mengulang lagi dari atas setelah proses penghapusan data semoga dapat segera diatasi masalahnya  terimakasih
5,bagus
2,mulai tidak nyaman dan aman belanja disini banyak toko² akal²an penipu proses lama dan complain pengembalian dana tidak cash alias di cicil
4,
2,barang lengkap tapi minus ini apk delivery nya lama jika diberi  hari maka barang akan datang ke hari ke atau lebih
5,tolong untuk akun penjual penipu yg merubah pengiriman instan menjadi pengiriman reguler di banned aja saya milih pengiriman instan malah diganti menjadi pengiriman reguler sdh  hr blm dikirim barang saya sdh saya laporkan jg penjualnya di aplikasi tokopedia makasi banyak
5,tokopedia memang top
1,buang buang waktu beli udah hari barang ga datang lalu hilang mau minta refund nunggu lagi seminggu itupun belum masuk ke rekening tokped
4,lebih mudah
5,ini membantu saya
5,agk ribet
4,beli pulsa cepet
1,paket estimasi datang tgl  mei  sudah telat tiba ditambah lagi estimasinya jadi  mei  parah sekali ini tokopedia
5,
5,mantap
5,bagus
1,gimana nih tokopedia carenya koq ngga care komplain ngga ada solusi saya order dengan menggunakan kurir rekomendasi pilihan tokopedia tapi info seller paket ditolak pick up karena cairan dan saya tau kendalanya hari terakhir estimasi pengiriman itu pun setelah tanya ke seller aneh aja namanya aja kurir rekomendasi tapi kenyataannya zonk
2,suka toko pedia kurir e grecep tapi aplikasinya ngebug trus update rutin saya padahal dibagian transaksinya pas lacak barang selalu muncul layar putih tulisanya g kelihatan jadi males akhirnya
1,tokopedia apk tolol pdhl masa pembayaran cod cuma bisa  kali
1,karena fitur buruk tokopedia yg seller auto proses pesanan kami gak bisa batalin seller jg tidak komunikatif siapa sih bisnis devnya dan orang produknya harusnya user udah bisa ambil kputusan reorder di toko yg lain tersendat karena fitur tokopedia yg sama sekali tidak guna kalo status sdh d proses tidak bisa kita cancel tanpa persetujuan penjual masalahnya seller gk semua komunikatif bahkan ada yg kekeuh gk boleh batalin krna mereka bilang udah di proses buyer gk nyaman
5,terlalu banyak iklan
5,mantap banyak promo
3,tampilan harga murah sekali di cekout berubah jadi mahal emang boleh sebohong ini
5,seneng dengan gratis ongkir nya
5,tokopedia mema top
5,good aplikasi
1,susah digunakan
1,tokopedia parah paket udaj di return tapi di balikin balik ke pembeli eh dana nya malah dikasih ke penjual kocak emang udaj mah ga akurat rumit banget nyesel
1,ngapain merger makin susah aja jualan barang di tolak terus otw uninstal jancook
5,tidak ada notif
1,sudah  kali barang selalu nyasar dan setiap pesan barang suka ada yang ketinggalan katanya ready stok tapi ga ada
5,tokopedia aplikasi sangat membantu
5,oke
5,mantul kak
1,marketplace paling buruk uang refund juta nyangkut sudah bulan tidak kembali gak tau kemana chat ke tokoedcare gaada respon akan gua tempuh jalur hukum liat aja
5,tokopedia amanah proses belanja cepat mantap  sukses selalu
2,dulu kalau bagus aku tambah bintangnya
5,sukses trs
5,bagus bgt harga lebih murah dn bnyk bgt diskon nya pokoknya the best bgt deh
3,fix saya stop pake tokped ga ada pemisahan rating buat toko ama ekspedisi nanti ekspedisi lama toko jadi jelek padahal yang salah bukan toko
5,mantap saran saya jangan tambah terlalu banyak fitur agar aplikasi tidak crash dan lambat jika menambah fitur sebaiknya lebih di optimalkan
2,suka ngprank orang kasih voucher tiap pengguna katanya diskon min  setelah mau co tiba voucher tidak bisa digunakan
